id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
RS-LP-000958,"Milbourne","William","Parker","George",1762-12-04,"4 December 1762","","","L&P/4/135, Royal Society","","","RS-LP-000958.xml"
RS-MM-000959,"Sylvester","James Joseph","Cayley","Arthur",1875-02-01,"1 February 1875","","","MM/15/16, Royal Society","","","RS-MM-000959.xml"
RS-LP-000959,"Pococke","Richard","Parker","George",1762-12-15,"15 December 1762","","","L&P/4/136, Royal Society","","","RS-LP-000959.xml"
RS-MM-000960,"Sylvester","James Joseph","Cayley","Arthur",1875-02-03,"3 February 1875","","","MM/15/17, Royal Society","","","RS-MM-000960.xml"
RS-LP-000960,"Watson","William","Royal Society","",1763-02-09,"9 February 1763","","","L&P/4/137, Royal Society","","","RS-LP-000960.xml"
RS-MM-000961,"Sylvester","James Joseph","Cayley","Arthur",1875-02-04,"4 February 1875","","","MM/15/18, Royal Society","","","RS-MM-000961.xml"
RS-LP-000961,"Costa","Emanuel Mendes da","Parker","George",1763-02-10,"10 February 1763","","","L&P/4/138, Royal Society","","","RS-LP-000961.xml"
RS-MM-000962,"Sylvester","James Joseph","Cayley","Arthur",1875-02-15,"15 February 1875","","","MM/15/19, Royal Society","","","RS-MM-000962.xml"
RS-LP-000962,"Dawes","Thomas","Lyttelton","Charles",1762-10-26,"26 October 1762","","","L&P/4/141, Royal Society","","","RS-LP-000962.xml"
RS-MM-000963,"Sylvester","James Joseph","Cayley","Arthur",1875-02-20,"20 February 1875","","","MM/15/20, Royal Society","","","RS-MM-000963.xml"
RS-LP-000963,"Boyer","Jean Baptiste Nicolas","Royal Society","",1763-01-01,"1763","","","L&P/4/142, Royal Society","","","RS-LP-000963.xml"
RS-MM-000964,"Sylvester","James Joseph","Cayley","Arthur",1875-02-22,"22 February 1875","","","MM/15/21, Royal Society","","","RS-MM-000964.xml"
RS-LP-000964,"Pallas","Peter Simon","Costa","Emanuel Mendes da",1763-02-12,"12 February 1763","","","L&P/4/143, Royal Society","","","RS-LP-000964.xml"
RS-MM-000965,"Sylvester","James Joseph","Cayley","Arthur",1875-02-24,"24 February 1875","","","MM/15/22, Royal Society","","","RS-MM-000965.xml"
RS-LP-000965,"Frisi","Paolo","Royal Society","",1763-01-18,"18 January 1763","","","L&P/4/144, Royal Society","","","RS-LP-000965.xml"
RS-MM-000966,"Sylvester","James Joseph","Cayley","Arthur",1875-02-26,"26 February 1875","","","MM/15/23, Royal Society","","","RS-MM-000966.xml"
RS-LP-000966,"Stirling","James","Duncan","John",1762-10-25,"25 October 1762","","","L&P/4/145, Royal Society","","","RS-LP-000966.xml"
RS-MM-000967,"Sylvester","James Joseph","Cayley","Arthur",1878-01-01,"1878","","","MM/15/24, Royal Society","","","RS-MM-000967.xml"
RS-LP-000967,"Dupont","Andrew Peter","Costa","Emanuel Mendes da",1763-01-17,"17 January 1763","","","L&P/4/146, Royal Society","","","RS-LP-000967.xml"
RS-LP-000968,"Dick","Alexander","Douglas","James",1763-02-21,"21 February 1763","","","L&P/4/147, Royal Society","","","RS-LP-000968.xml"
RS-MM-000968,"Sylvester","James Joseph","Cayley","Arthur",,"nd","","","MM/15/25, Royal Society","","","RS-MM-000968.xml"
RS-LP-000969,"","","","",1763-01-01,"1763","","","L&P/4/148, Royal Society","","","RS-LP-000969.xml"
RS-MM-000969,"","","Armstrong","WE",1936-05-13,"13 May 1936","","","MM/15/29, Royal Society","","","RS-MM-000969.xml"
RS-MM-000970,"","","Royal Society","",1853-05-02,"2 May 1853","","","MM/15/56, Royal Society","","","RS-MM-000970.xml"
RS-LP-000970,"","","Royal Society","",1763-03-03,"3 March 1763","","","L&P/4/149, Royal Society","","","RS-LP-000970.xml"
RS-MM-000971,"Airy","George Biddell","Birt","WR",1862-09-09,"9 September 1862","","","MM/15/60, Royal Society","","","RS-MM-000971.xml"
RS-LP-000971,"Mountaine","William","Morton","Charles",1763-01-26,"26 January 1763","","","L&P/4/150, Royal Society","","","RS-LP-000971.xml"
RS-MM-000972,"Airy","George Biddell","Birt","WR",1862-09-27,"27 September 1862","","","MM/15/61, Royal Society","","","RS-MM-000972.xml"
RS-LP-000972,"Kinnersley","Ebenzer","Franklin","Benjamin",1763-03-12,"12 March 1763","","","L&P/4/153, Royal Society","","","RS-LP-000972.xml"
RS-MM-000973,"Airy","George Biddell","Birt","WR",1865-12-21,"21 December 1865","","","MM/15/62, Royal Society","","","RS-MM-000973.xml"
RS-LP-000973,"Bergman","Torbern Olof","Wilson","Benjamin",1762-11-20,"20 November 1762","","","L&P/4/154, Royal Society","","","RS-LP-000973.xml"
