id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
KEMP18,"Oliver","William","Kemp","William",1842-12-26,"26 Dec 1842","","","Cambridge University Library (MS Add. 10252/13)","","","KEMP18.xml"
KEMP19,"Darwin","C. R.","Kemp","William",1843-04-07,"7 Apr [1843]","","","Cambridge University Library (MS Add. 10252/14)","","","KEMP19.xml"
KEMP22,"Darwin","C. R.","Kemp","William",1843-04-24,"24 [Apr 1843]","","","Cambridge University Library (MS Add. 10252/15)","","","KEMP22.xml"
KEMP25,"Darwin","C. R.","Kemp","William",1843-09-08,"[8 September 1843]","","","Cambridge University Library (MS Add. 10252/23)","","","KEMP25.xml"
KEMP26,"Walker","Thomas","Kemp","William",1843-09-14,"14 Sep 1843","","","Cambridge University Library (MS Add. 10252/29)","","","KEMP26.xml"
KEMP28,"Darwin","C. R.","Kemp","William",1843-10-14,"[14 Oct 1843]","","","Cambridge University Library (MS Add. 10252/16a)","","","KEMP28.xml"
KEMP30,"Darwin","C. R.","Kemp","William",1843-10-09,"9 Oct [1843]","","","Cambridge University Library (MS Add. 10252/16b and 10252/17)","","","KEMP30.xml"
KEMP31,"Henslow","J. S.","Kemp","William",1843-10-09,"9 Oct 1843","","","Cambridge University Library (MS Add. 10252/24)","","","KEMP31.xml"
KEMP36,"Darwin","C. R.","Kemp","William",1843-11-01,"1 Nov [1843]","","","Cambridge University Library (MS Add. 10252/18)","","","KEMP36.xml"
KEMP37,"Walker","Thomas","Kemp","William",1843-11-03,"3 Nov 1843","","","Cambridge University Library (MS Add. 10252/19)","","","KEMP37.xml"
KEMP40,"Darwin","C. R.","Kemp","William",1843-11-09,"[9 Nov 1843]","","","Cambridge University Library (MS Add. 10252/20)","","","KEMP40.xml"
KEMP42,"Darwin","C. R.","Kemp","William",1843-11-22,"22 Nov 1843","","","Cambridge University Library (MS Add. 10252/21)","","","KEMP42.xml"
KEMP44,"Darwin","C. R.","Kemp","William",1843-12-01,"1 Dec [1843]","","","Cambridge University Library (MS Add. 10252/22)","","","KEMP44.xml"
KEMP46,"Darwin","C. R.","Kemp","William",1843-12-07,"7 Dec [1843]","","","Cambridge University Library (MS Add. 10252/25)","","","KEMP46.xml"
KEMP47,"Brockie","William","Kemp","William",1843-06-08,"8 June [1843]","","","Cambridge University Library (MS Add. 10252/26)","","","KEMP47.xml"
KEMP48,"Walker","Thomas","Kemp","William",1843-09-01,"[1 Sept 1843 - 30 Nov 1843]","","","Cambridge University Library (MS Add. 10252/27)","","","KEMP48.xml"
KEMP49,"Walker","Thomas","Kemp","William",1844-01-11,"[before 11 Jan 1844?]","","","Cambridge University Library (MS Add. 10252/28)","","","KEMP49.xml"
KEMP50,"Younger","John","Kemp","William",1844-01-11,"11 Jan 1844","","","Cambridge University Library (MS Add. 10252/30)","","","KEMP50.xml"
KEMP51,"Walker","Thomas","Kemp","William",1844-01-20,"20 Jan 1844","","","Cambridge University Library (MS Add. 10252/31)","","","KEMP51.xml"
KEMP52,"Stevenson","William","Kemp","William",1860-01-20,"20 Jan [1860-4]","","","Cambridge University Library (MS Add. 10252/32)","","","KEMP52.xml"
KEMP53,"Walker","Thomas","Kemp","William",1844-02-15,"[15 Feb 1844]","","","Cambridge University Library (MS Add. 10252/33)","","","KEMP53.xml"
KEMP54,"Darwin","C. R.","Kemp","William",1844-02-23,"23 Feb [1844]","","","Cambridge University Library (MS Add. 10252/34)","","","KEMP54.xml"
KEMP55,"Walker","Thomas","Kemp","William",1844-07-06,"6 July 1844","","","Cambridge University Library (MS Add. 10252/35)","","","KEMP55.xml"
KEMP56,"Walker","Thomas","Kemp","William",1844-08-08,"8 Aug 1844","","","Cambridge University Library (MS Add. 10252/36)","","","KEMP56.xml"
KEMP57,"Unidentified","","Kemp","William",1844-07-08,"[before 8 July 1844]","","","Cambridge University Library (MS Add. 10252/37)","","","KEMP57.xml"
KEMP58,"Walker","Thomas","Kemp","William",1844-09-17,"17 Sept 1844","","","Cambridge University Library (MS Add. 10252/38)","","","KEMP58.xml"
