id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0618,"Darwin","Francis","Darwin","H. E.",1870-02-01,"[February 1870]","Down","","DAR 219.8: 17","","","FL-0618.xml"
FL-0619,"Darwin","Elizabeth","Darwin","H. E.",1870-02-05,"5 February [1870]","","","DAR 219.8: 18","","","FL-0619.xml"
FL-0620,"Darwin","Elizabeth","Darwin","H. E.",1870-02-17,"17 [February 1870]","","","DAR 219.8: 19","","","FL-0620.xml"
FL-0621,"Darwin","Elizabeth","Darwin","H. E.",1870-03-04,"4 March [1870]","","","DAR 219.8: 20","","","FL-0621.xml"
FL-0622,"Carter","E. M. Bonham","Darwin","H. E.",1870-03-27,"27 March 1870","Ravensbourne","","DAR 219.8: 21","","","FL-0622.xml"
FL-0623,"Darwin","Elizabeth","Darwin","H. E.",1870-04-03,"3 April 1870","","","DAR 219.8: 22","","","FL-0623.xml"
FL-0624,"Darwin","Francis","Darwin","H. E.",1870-04-14,"[14 April 1870]","","","DAR 219.8: 23","","","FL-0624.xml"
FL-0625,"Allen","Fanny","Darwin","H. E.",1870-12-08,"8 December [1870]","Heywood, | Tenby.","","DAR 219.8: 24","","","FL-0625.xml"
FL-0626,"Allen","Fanny","Darwin","H. E.",1871-07-15,"15 July [1871]","Heywood, | Tenby.","","DAR 219.8: 25","","","FL-0626.xml"
FL-0627,"Allen","Fanny","Litchfield","H. E.",1871-11-03,"3 November [1871]","Heywood—","","DAR 219.8: 26","","","FL-0627.xml"
FL-0628,"Brodie","Jessie","Litchfield","H. E.",1871-11-22,"22 November 1871","3 [Benermill] [Bannermill] St [Aberdeen]","","DAR 219.8: 27","","","FL-0628.xml"
FL-0629,"Allen","Fanny","Litchfield","H. E.",1871-12-08,"8 December [1871]","","","DAR 219.8: 28","","","FL-0629.xml"
FL-0630,"Darwin","W. E.","Litchfield","H. E.",1872-05-21,"21 May 1872","Bassett, | Southampton","","DAR 219.8: 29","","","FL-0630.xml"
FL-0631,"Sedgwick","Sara","Litchfield","H. E.",1872-06-06,"6 June 1872","New York.","","DAR 219.8: 30","","","FL-0631.xml"
FL-0632,"Allen","Fanny","Litchfield","H. E.",1875-01-23,"23 January [1875]","Heywood—","","DAR 219.8: 31","","","FL-0632.xml"
FL-0633,"Darwin","W. E.","Litchfield","H. E.",1877-09-28,"[28 September 1877]","Down, | Beckenham, Kent. | Railway Station | Orpington. S.E.R.","","DAR 219.8: 32","","","FL-0633.xml"
FL-0634,"Sedgwick","Sara","Litchfield","H. E.",1877-10-05,"5 October [1877]","Tilgate | Crawley, Sussex.","","DAR 219.8: 33","","","FL-0634.xml"
FL-0635,"Darwin","W. E.","Litchfield","H. E.",1877-11-07,"[7 November 1877]","Basset, | Southampton.","","DAR 219.8: 34","","","FL-0635.xml"
FL-0636,"Darwin","Elizabeth","Litchfield","H. E.",1878-01-01,"[1878]","Leith Hill","","DAR 219.8: 35","","","FL-0636.xml"
FL-0637,"Darwin","Elizabeth","Litchfield","H. E.",1879-09-01,"[September 1879]","Down, | Beckenham, Kent. | Railway Station | Orpington. S. E. R.","","DAR 219.8: 37","","","FL-0637.xml"
FL-0638,"Francis Wedgwood Sr","","Litchfield","H. E.",1881-05-01,"1 May 1881","Barlaston, | Stoke upon Trent,","","DAR 219.8: 38","","","FL-0638.xml"
FL-0639,"Darwin","Elizabeth","Litchfield","H. E.",1882-08-27,"27 August 1882","Down, | Beckenham, Kent. | Railway Station | Orpington. S.E.R.","","DAR 219.8: 39","","","FL-0639.xml"
FL-0640,"Darwin","Emma","Darwin","H. E.",1862-08-02,"[2 August 1862]","Down","","DAR 219.9: 1","","","FL-0640.xml"
FL-0641,"Darwin","Emma","Darwin","H. E.",1862-08-08,"[8 August 1862]","Down | Bromley | Kent. S. E.","","DAR 219.9: 2","","","FL-0641.xml"
FL-0642,"Darwin","Emma","Darwin","H. E.",1862-08-09,"[9 August 1862]","Down","","DAR 219.9: 3","","","FL-0642.xml"
FL-0643,"Darwin","Emma","Darwin","H. E.",1863-11-04,"[4 November 1863]","Down | Bromley | Kent. S. E.","","DAR 219.9: 4","","","FL-0643.xml"
FL-0644,"Darwin","Emma","Darwin","H. E.",1863-11-05,"[5 November 1863]","","","DAR 219.9: 5","","","FL-0644.xml"
FL-0645,"Darwin","Emma","Darwin","H. E.",1863-11-06,"[6 November 1863]","Down","","DAR 219.9: 6","","","FL-0645.xml"
FL-0646,"Darwin","Emma","Darwin","H. E.",1864-06-07,"[7 June 1864?]","Down","","DAR 219.9: 7","","","FL-0646.xml"
FL-0647,"Darwin","Emma","Darwin","H. E.",1864-06-11,"[11 June 1864]","Down","","DAR 219.9: 8","","","FL-0647.xml"
FL-0648,"Darwin","Emma","Darwin","H. E.",1864-06-12,"[12 June 1864]","Down","","DAR 219.9: 9","","","FL-0648.xml"
FL-0649,"Darwin","Emma","Darwin","H. E.",1864-06-13,"[13–27 June 1864]","Down","","DAR 219.9: 10","","","FL-0649.xml"
FL-0650,"Darwin","Emma","Darwin","H. E.",1864-06-18,"[18 or 25 June 1864]","","","DAR 219.9: 11","","","FL-0650.xml"
FL-0651,"Darwin","Emma","Darwin","H. E.",1864-06-23,"[23 June 1864]","","","DAR 219.9: 12","","","FL-0651.xml"
FL-0652,"Darwin","Emma","Darwin","H. E.",1864-06-30,"[30 June 1864]","Down","","DAR 219.9: 13","","","FL-0652.xml"
FL-0653,"Darwin","Emma","Darwin","H. E.",1864-07-01,"[1 July 1864]","","","DAR 219.9: 14","","","FL-0653.xml"
FL-0654,"Darwin","Emma","Darwin","H. E.",1864-08-13,"[13 August 1864]","","","DAR 219.9: 15","","","FL-0654.xml"
FL-0655,"Darwin","Emma","Darwin","H. E.",1864-08-15,"[15 August 1864]","Down","","DAR 219.9: 16","","","FL-0655.xml"
FL-0656,"Darwin","Emma","Darwin","H. E.",1864-08-17,"[17 August 1864]","Down","","DAR 219.9: 17","","","FL-0656.xml"
FL-0657,"Darwin","Emma","Darwin","H. E.",1864-08-18,"[18 August 1864]","Down Bromley | Kent.","","DAR 219.9: 18","","","FL-0657.xml"
FL-0658,"Darwin","Emma","Darwin","H. E.",1864-09-05,"[5 September 1864]","Down","","DAR 219.9: 19","","","FL-0658.xml"
FL-0659,"Darwin","Emma","Darwin","H. E.",1864-09-07,"[7 September 1864]","","","DAR 219.9: 20","","","FL-0659.xml"
FL-0660,"Darwin","Emma","Darwin","H. E.",1864-09-09,"[9 September 1864]","Down","","DAR 219.9: 21","","","FL-0660.xml"
FL-0661,"Darwin","Emma","Darwin","H. E.",1864-10-21,"[21 October 1864]","Down","","DAR 219.9: 22","","","FL-0661.xml"
FL-0662,"Darwin","Emma","Darwin","H. E.",1865-05-25,"[25 May 1865]","","","DAR 219.9: 23","","","FL-0662.xml"
FL-0663,"Darwin","Emma","Darwin","H. E.",1865-02-18,"[18 February 1865]","Down","","DAR 219.9: 24","","","FL-0663.xml"
FL-0664,"Darwin","Emma","Darwin","H. E.",1865-03-17,"[17 March 1865]","Down","","DAR 219.9: 25","","","FL-0664.xml"
FL-0665,"Darwin","Emma","Darwin","H. E.",1865-03-29,"29 March 1865","","","DAR 219.9: 26","","","FL-0665.xml"
FL-0666,"Darwin","Emma","Darwin","H. E.",1865-06-06,"[6 June 1865]","","","DAR 219.9: 27","","","FL-0666.xml"
FL-0667,"Darwin","Emma","Darwin","H. E.",1865-06-01,"[1 June 1865]","","","DAR 219.9: 28","","","FL-0667.xml"
FL-0668,"Darwin","Emma","Darwin","H. E.",1865-06-10,"[10–20 June 1865]","","","DAR 219.9: 29","","","FL-0668.xml"
FL-0669,"Darwin","Emma","Darwin","H. E.",1865-06-17,"[17 June 1865]","Down. | Bromley | Kent. S. E.","","DAR 219.9: 30","","","FL-0669.xml"
FL-0670,"Darwin","Emma","Darwin","H. E.",1865-06-15,"[15 June 1865]","","","DAR 219.9: 31","","","FL-0670.xml"
FL-0671,"Darwin","Emma","Darwin","H. E.",1865-06-21,"[21 June 1865]","","","DAR 219.9: 32","","","FL-0671.xml"
FL-0672,"Darwin","Emma","Darwin","H. E.",1865-06-14,"[14 June 1865]","","","DAR 219.9: 33","","","FL-0672.xml"
FL-0673,"Darwin","Emma","Darwin","H. E.",1865-09-24,"[24 September 1865]","Down","","DAR 219.9: 34","","","FL-0673.xml"
FL-0674,"Darwin","Emma","Darwin","H. E.",1865-09-26,"[26 September 1865]","","","DAR 219.9: 35","","","FL-0674.xml"
FL-0675,"Darwin","Emma","Darwin","H. E.",1865-10-24,"[24 October 1865]","Down","","DAR 219.9: 36","","","FL-0675.xml"
FL-0676,"Darwin","Emma","Darwin","H. E.",1865-09-01,"[September 1865?]","","","DAR 219.9: 37","","","FL-0676.xml"
FL-0677,"Darwin","Emma","Darwin","H. E.",1866-01-01,"[1866 or 1865?]","","","DAR 219.9: 38","","","FL-0677.xml"
FL-0678,"Darwin","Emma","Darwin","H. E.",1866-03-26,"[26 March 1866]","Down","","DAR 219.9: 39","","","FL-0678.xml"
FL-0679,"Darwin","Emma","Darwin","H. E.",1866-04-06,"[6 April 1866]","Down","","DAR 219.9: 40","","","FL-0679.xml"
FL-0680,"Darwin","Emma","Darwin","H. E.",1866-04-18,"[18 April 1866]","Down","","DAR 219.9: 41","","","FL-0680.xml"
FL-0681,"Darwin","Emma","Darwin","H. E.",1866-04-30,"30 April [1866]","6 Q. A.","","DAR 219.9: 42","","","FL-0681.xml"
FL-0682,"Darwin","Emma","Darwin","H. E.",1866-05-12,"[12 May 1866]","Down","","DAR 219.9: 43","","","FL-0682.xml"
