id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
TALBOT6224,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1849-05-04,"4 May 1849","","","","","","TALBOT6224.xml"
TALBOT6225,"Bolton","John Henry","Talbot","William Henry Fox",1849-05-07,"7 May 1849","","","","","","TALBOT6225.xml"
TALBOT6226,"Bouard","Alfred François","Talbot","William Henry Fox",1849-05-10,"10 May 1849","","","","","","TALBOT6226.xml"
TALBOT6227,"Haigh","Daniel Henry","Talbot","William Henry Fox",1876-03-31,"31 Mar 1876","","","","","","TALBOT6227.xml"
TALBOT6228,"Talbot","William Henry Fox","Talbot","née Mundy, Constance",1849-05-12,"12 May 1849","","","","","","TALBOT6228.xml"
TALBOT6229,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1849-05-13,"13 May 1849","","","","","","TALBOT6229.xml"
TALBOT6230,"Haigh","Daniel Henry","Talbot","William Henry Fox",1876-03-20,"20 Mar 1876","","","","","","TALBOT6230.xml"
TALBOT6231,"Talbot","Mary Thereza","Talbot","William Henry Fox",1849-05-17,"17 May 1849","","","","","","TALBOT6231.xml"
TALBOT6232,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1849-05-31,"31 May 1849","","","","","","TALBOT6232.xml"
TALBOT6233,"Haigh","Daniel Henry","Talbot","William Henry Fox",1876-03-14,"14 Mar 1876","","","","","","TALBOT6233.xml"
TALBOT6234,"Langenheim","Friedrich (Frederick)","Talbot","William Henry Fox",1849-06-10,"10 Jun 1849","","","","","","TALBOT6234.xml"
TALBOT6235,"Campbell","John","Talbot","William Henry Fox",1849-06-13,"13 Jun 1849","","","","","","TALBOT6235.xml"
TALBOT6236,"Atwood","Henry Adams Sergison","Talbot","William Henry Fox",1849-06-14,"14 Jun 1849","","","","","","TALBOT6236.xml"
TALBOT6237,"Haigh","Daniel Henry","Talbot","William Henry Fox",1876-04-03,"3 Apr 1876","","","","","","TALBOT6237.xml"
TALBOT6238,"Talbot","William Henry Fox","Gaisford","née Feilding, Henrietta Horatia Maria",1849-06-19,"19 Jun 1849","","","","","","TALBOT6238.xml"
TALBOT6239,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-06-20,"20 Jun 1849","","","","","","TALBOT6239.xml"
TALBOT6240,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1849-05-01,"1 May 1849","","","","","","TALBOT6240.xml"
TALBOT6241,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1854-06-24,"24 Jun 1854","","","","","","TALBOT6241.xml"
